DF_UID,roof_tilt,roof_aspect,roof_area,roof_x,roof_y,SIS,SISDIR,DHI,horizon_S,horizon_SSW,horizon_SWW,horizon_W,horizon_NWW,horizon_SSE,horizon_SEE,horizon_E,horizon_NEE,tilted_radiation
7559501,11,-35.0,35.4042681059094,562721.375,127253.4453125,1292.488352620172,777.8259901001227,514.5726467273812,0.0,0.0,8.5089774661594,8.5089774661594,13.931537946065301,0.0,0.0,0.0,0.0,1404
7834342,32,-140.0,4.481433186431604,582214.875,115001.78125,1361.8697750757553,840.2907475966977,521.5226510008182,31.7987041473389,19.830335617065398,4.85683155059814,2.2902169227600098,0.0,31.7987041473389,0.0,0.0,5.386916637420652,957
6257607,0,0.0,16.80813042926286,578410.6875,184261.671875,1259.9265035032852,716.7972052006398,543.0985669703404,14.661514918009448,15.1275993982951,30.3448543548584,39.1172440846761,60.6346041361491,30.445074717203802,32.314269383748396,39.0200564066569,39.0200564066569,1030
5588091,28,123.0,53.327763658404244,552784.3125,199690.4375,1256.1293590665794,697.4148628218503,558.7010371454571,24.0570810735226,7.92242569103837,2.4561869700749703,18.909090916315698,5.75045035282771,24.907939195632892,30.560556411743196,30.750064531962103,30.7023779551188,968
4990234,4,133.0,475.6617528102637,495306.34375,119686.8671875,1326.1508127683328,789.661467341987,536.4251145545371,21.462303425723,14.560904636676199,11.2966186673176,13.075275907429301,11.644273771987699,26.8330293183889,29.8677585418147,30.4156214531844,25.5735123934058,1264
9088947,36,133.0,225.73806032894126,542276.625,169633.609375,1327.9671849219408,772.5411093576454,555.3837688301787,23.62892990786095,11.3580813200577,0.837404344068921,0.780426180881003,1.98832315854404,27.2078679100327,29.982590842506198,27.2053156702415,26.7729489712611,942
6760679,20,-163.0,20.030500904947992,563393.4375,230367.9375,1226.6179869516395,655.13192243965,571.4969237189694,15.222636103630052,3.7752523422241198,24.10071849823,3.9751069843769113,1.1574678421020501,8.43836921453476,15.4544742107391,21.94624042510989,6.17265582084656,922
4817564,29,-40.0,39.180411466829185,504416.84375,134073.953125,1322.97946728968,795.584681620972,527.3406466092323,7.23229303624895,10.3197356859843,16.689465628729902,11.8284544414944,14.9669007725186,19.487769550747306,15.7404924498664,5.50944621033139,3.1531222396426704,1471
5653192,36,-118.0,71.2820276579769,546659.5,183290.21875,1241.623925682009,715.1095247241168,526.4575586618814,7.349377598081322,11.339584384645699,18.8306220599583,21.214282785143197,15.585727487291601,6.96799590757915,0.827371590903827,0.6382357059046629,0.0,993
5927038,25,91.0,78.92349611114933,571841.375,199240.671875,1259.646913664183,728.7060537527391,530.9304568840695,5.687447533795705,9.320592942990759,3.68344460663043,0.28588198948847604,5.7502322196960405,8.372703106779799,10.6458287748851,14.5880996114329,13.957716038352599,1182
