#,@@ORI@@,@@WINS@@,@@RSA@@,@@OVER@@,@@HS@@,@@LIGHTS@@,Electricity:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),ZONE ONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](RunPeriod)
157,32.9036983,0.081512706,0.64594995,0.93190969,20.06985768,1012.354225,10711841533,58081188629,425632507,6099.25
158,44.60566359,0.038583968,0.729331749,1.098540441,18.63987732,1009.605512,10682757079,40212548001,308922230.3,6704
159,41.85080147,0.035764298,0.559817461,1.308060961,19.28343166,834.2131132,8826909056,46351828175,207900995,6720.25
160,57.97032599,0.065005133,0.58232467,1.268616671,18.39556347,1152.069447,12190185066,40525850473,331797218.5,6784
161,3.54431246,0.051254453,0.533163038,0.801121998,18.71378571,1000.961838,10591297319,42456467973,398926845,6761
162,84.36795799,0.05342292,0.603763859,1.93093526,19.06289081,1049.823742,11108310991,45738335239,241810292.2,6802
163,62.19338948,0.021368197,0.430509619,0.59759735,21.38924912,1087.560708,11507610355,62965051999,285423238.1,2370.5
164,83.14643876,0.045095566,0.670850626,1.193395991,18.91181001,1136.577636,12026264351,42861370554,297984691.4,6718.75
165,59.84217927,0.059414077,0.484520219,0.911557608,19.1479554,1016.307599,10753672657,47075315571,299282168.3,6761.25
166,66.83665863,0.075155772,0.631489386,1.355885059,18.85582038,1037.748786,10980544429,45895468360,307955830.7,6830.5
167,77.2910422,0.04583142,0.543127898,0.643239062,18.86455672,957.1674342,10127903481,43053751687,314515936.4,6748
168,16.47994846,0.04702314,0.415162348,1.614433277,18.91316338,986.23052,10435423479,44047427134,245270991.2,6789.25
169,48.67195731,0.057621916,0.343637238,0.624633847,16.32778896,1096.782593,11605188233,23956232610,349854042.4,6779.25
170,56.30338587,0.04300589,0.857800829,0.539038682,23.46878751,827.9976159,8761142134,88909294812,388689796.3,182.75
171,1.29262821,0.031817884,0.521452425,0.270584329,20.16224684,1069.287378,11314258062,52728964063,518420523.4,5416
172,12.89842444,0.066601203,0.694546339,0.682540342,18.14678909,949.5446608,10047246001,39190218910,470326273.1,6817.25
173,79.74517774,0.055983069,0.636408031,1.725508322,18.66780084,1057.314114,11187567523,42376018315,257818546,6810
174,71.5671073,0.062223479,0.625996278,1.668481023,17.11330845,1019.411949,10786520159,30347948299,260813555.9,6855.5
175,57.49042932,0.051864459,0.643166202,1.962618088,18.2071152,913.9189758,9670286353,38588724442,225993660.3,6849.75
176,71.31797478,0.047845397,0.570396008,1.364263706,19.50979912,1020.373309,10796692425,49205133808,237418124.4,6646.25
177,43.02678451,0.054486766,0.805330905,0.573826161,17.88061368,862.0781819,9121752692,35990499865,411534238,6781
178,12.93534363,0.053653934,0.550476169,1.60801006,20.12124521,1058.070407,11195569941,55734412511,311242502.9,5826
179,39.89181287,0.073039009,0.617587536,0.503984503,18.42738846,860.4116715,9104119145,42333869451,420677938.6,6832
180,70.96042134,0.076663421,0.503115338,0.96115157,15.3152143,998.1555524,10561603679,18550884234,310998509.9,6877.75
181,8.766775986,0.054641785,0.834531574,0.391187598,19.29835266,1013.658139,10725638404,47672617302,597919915.1,6697.75
182,39.35961661,0.030845708,0.665291592,0.798606893,16.12859683,947.5596042,10026241879,20620198559,308742988.8,6704.25
183,5.937035786,0.056923366,0.706549429,0.556576652,19.98828491,1004.293716,10626552329,54587261427,516791406.1,6073.25
184,75.66865615,0.066990482,0.659319407,1.379854435,18.95658811,1115.071659,11798707028,45753976656,314358381.2,6793.5
185,0.1158187,0.073640611,0.491835605,1.441442984,19.23942665,885.0793415,9365130722,50079657360,303093100.4,6845.5
186,55.78252214,0.046955246,0.388746156,0.546328766,17.30294536,1052.075199,11132133931,30292881822,333006167.9,6749.25
187,30.23428759,0.093709804,0.545507739,1.242300494,16.83313605,995.5700165,10534245812,30573906991,374669252.8,6906.75
188,37.34614228,0.075494907,0.794619264,2.077777695,18.93694165,881.0110205,9322083330,47338542234,306311583.9,6873
189,1.995382119,0.055719253,0.615897,0.107514932,19.32699324,1080.26788,11430444072,47864608676,663480816.8,6691.75
190,22.77767227,0.076583544,0.444453687,1.21682768,19.26909251,1046.125807,11069182697,50004603691,351327908.3,6791.75
191,73.92180895,0.071476111,0.4689133,0.305894891,14.85633951,1085.6436,11487325205,15303846529,479460476.7,6823
192,24.49629056,0.103190656,0.42881984,1.971470704,17.92904555,807.5241116,8544509527,40963184558,270904682.2,7003.75
193,2.782422849,0.06771529,0.638577566,0.651400254,22.08283613,1028.188338,10879384183,77074831220,511502731.3,1312.75
194,13.69449536,0.050997161,0.44948734,0.341698948,16.05770411,937.2607681,9917268658,21989617930,444849986.4,6782.75
195,4.5584249,0.054525556,0.553199183,0.294975731,18.69985604,1088.930624,11522105604,42223425261,575239260.7,6750.25
